Participant ID ,Q: Understanding_crisis,Code ,Notes,Code2,Conflict,CodeFinal,Notes
AC6920,"I think it is the fact, that when studies in psychology get replicated they barely get the same results",1,,,,1,
ID8588,"I think it is where a lot of studies in psychology have not been conducted particularly rigorously and therefore the results aren't particularly accurate (for example because not all findings were reported or participants were included after not receiving the desired result. Because of this, there was a period in psychology where upon replication, many studies produced different results. There is an attempt to stop this with more rigorous guidelines such as with PRISMA for systematic reviews.",1,,,,1,
BM8152,"I think it refers to the concerns of the credibility of researchers findings
",0,? check - is this too vague for a 1,,,0,
TP0137,I think it’s when there are concerns for how valid the findings actually are,0,? check - is this too vague for a 1,,,0,
MA8152,"I think it's a growing belief that that the results of many scientific studies cannot be reproduced, so they are more likely to be wrong.",0,Growing belief,,,0,
MB8343,idea that results are wrong all because it cannot be reproduced,1,,,,1,
RN2396,If a study cannot be falsified then it reduces the validity of the findings,0,Too vague,,,0,
AJ6768,Important for a study to be replicable,0,,,,0,
RI11,"in psychology, the replication/ reproducibility crisis represents the inability to replicate a study that shows the same effects as previous ones",1,,,,1,
GA7309,"In social psychology, the majority of studied weren't producing the same results following a replication study to see if the same results were found. Thus the reproducibility crisis referred to the exaggeration or even the publication of significant results that weren't in fact true.",1,,,,1,
AS7185,Inability to replaicate studies and find the same results,1,,,,1,
SN8432,"Inconsistencies and concerns with credibility of past research, some from 'pioneers'",0,,,,0,
bp5266,issue of previous older research not being replicable by todays standards and practises.,0,Hmm - a little too vague,,,0,
JR6311,Issue with past studies not producing the same results once replicated,1,,,,1,
CS0926,Issues in studies producing differing results when replicated.,1,,,,1,
NB0219,Issues raised by lack of replication,0,,,,0,
ID9882,"It came to light in 2011, that science had become 'lazy'. People were not producing reproducible, replicable studies in order to have a larger amount of studies published.",0,,,,0,
AS9673,It can be very difficult to replicate a study and reproduce exactly the same results,1,? check - is this explaining the problem or just saying it's hard,,,1,
JF6554,"It describes a crisis that started with a paper by somebody called Ioannidis published in PLoS Science in 2005. They found a mathematical way to predict how likely results of studies conducted in fields were real/true and found that in fields with small sample sizes, easy-to-come-by hypotheses and lots of latent constructs (like psychology), results are unlikely to be real/true. This led to lots of famous/classical studies being replicated in a big project, followed by ""Many Labs 2 and 3"", and they all had shocking results. Of the first big replication project, around 90-something % of the original studies had shown significant effects. Of the replicated studies, only 30 or 40-something % did. Of those, only under half the effects found were comparable to the originally found effects in effect size, the other effect sizes were about half as big. This led to a confidence crisis in psychology. So, summed up, the replication crisis means that studies can't be replicated/don't show significant effects/comparable effect sizes when replicated.",1,,,,1,
EP5293,It is a crisis consisting of scientific studies that are hard or impossible to replicate so the results of them could be wrong,1,,,,1,
PP3775,It is a problem encountered by several different study fields. In psychology most notably social psychology where famous studies were found to not be replicable. For a study to be scientifically valid it needs to be able to be questioned and reproduced because if it can't how can science go forward.,0,Nearly - but essentially says 'studies are not replicable' rather than results,,,0,
EL4307,"It is an ongoing issue of scientific methodology in psychology and in other scientific fields. It has been found that studies (mainly in social sciences and medicine) are difficult to replicate, or it is not possible to replicate them at all. There are many possible reasons for this, including p-hacking in reseach, lack of replication attempt in the past, and lack of publication when the experiemental results are not significant.",1,,,,1,
LB1091,It is an ongoing methodological crisis in which it has been found that many scientific studies are difficult to replicate or reproduce.,0,,,,0,
ss4015,It is difficult to replicate studies due to context differences.,0,,,,0,
SM7233,It is difficult to replicate studies the exact same way,0,,,,0,
NT7215,it is good to avoid ' replication crisis so that study become more reliable.,0,,,,0,
EL0160,"It is hard for researchers to replicate the same study with the same sample or different sample (either the same researchers or others) and sometimes researchers feel pressured to change their results in order to fit their pre-conceived beliefs/hypotheses, which will alter the study findings and make this process of replication even harder.",1,,,,1,
JG8066,"It is the fact that many published findings are only published because they are new and 'sexy', and so are not replicated as everyone just wants to do new studies.",0,? check,,,0,
JA8045,It is the issue that in social sciences and psychology many previous pieces of research have been found to be hard to replicate or reproduce,0,,,,0,
JM4566,It is where research- some of which had lead to wide spread and accepted theories- cannot be replicated,0,,,,0,
NB8140,It it’s particularly difficult (particularly in the social sciences) to reproduce studies and get consistent results,1,,,,1,
VE3470,"It refers to a fact that many studies are not replicable, hence do not carry real scientific weight.",0,,,,0,
JN8611,It was when people started to find that a lot psychological studies could not be replicated,0,,,,0,
LT6555,It’s crazy how much can be fake news,0,,,,0,
BS9841,It’s difficult to reproduce findings to test their validity as psychologists are too gosh darn secretive. What’s the point in doing research if you’re not going to let people test it it’s like saying you won the basketball game at half time and then took the basketball home. Just because they’re afraid to look like they’ve failed,1,,,,1,
JD9952,It's been found a lot of studies are hard to replicate which means they want research to be more heavily scrutinised and it makes the data questionable,1,,,,1,
EB0418,"It's the problem that not enough studies are replicated to assess whether the same results and conclusion are reached. Therefore, some current published research may have concluded results that might not be able to be replicated under the same conditions, meaning they are falsely eluded.",1,,,,1,
ks5820,"Its a crisis that alot of fileds are facing. Replicating famous studies and resulting in differing results
",1,,,,1,
par9723,Its a problem when lots of studies can't be replicated / reproduced.,0,,,,0,
NS2177,Its an issue where studies have not been able to be replicated because the original study is not available to everybody.,1,,,,1,
MD6750,its often difficult to replicate a study and reproduce the same findings,1,,,,1,
LW7050,Lack of replicating studies,0,,,,0,
ss3849,"Looks at the creditability of research and how research findings do not always replicate ,",1,,,,1,
KJ4376,Lot of historic studies in psychology just can't be replicated because of poor recording of methodolgy and whne they are the results are rarely reproduced.,1,,,,1,
ED3444,Lots of classic and poignant studies on which lots of modern research hinges has been difficult to replicate successfully - often due to dubious scientific practices.,1,? Specific enough,,,1,
IS3713,"lots of studies that were crucial to understanding behaviour and were a huge impact for psychology were found to not be replicable (not producing the same results) meaning things we thought were true, might not be.",1,,,,1,
LT3806,Low levels of replication in research,0,,,,0,
DN9295,Major theories espically in the social sciences are grounded from unreproducible experiments.,0,,,,0,
MM9640,"Many findings from studies in the sciences, and especially psychology, are not able to be replicated. This even includes 'classic' studies that theories and other research is built upon, making it a huge problem in psychology. A lot of this is down to poor research practices, which researchers feel pressured into using due to publication bias from journals.",1,,,,1,
IL0693,Many historic studies do not show the same results when replicated. This changes some of the accepted paradigms being taught in universities.,1,,,,1,
PH5944,Many iconic studies have failed to replicate the same findings,1,,,,1,
OM6519,Many important and widely cited studies have not produced significant results upon replication of the study (sometimes with larger sample sizes),1,,,,1,
AB1359,many modern studies cannot be reproduced - methodological crisis,0,,,,0,
JA5631,"Many older influential studies on which current textbooks and lectures are based have been discovered to not replicate well, meaning that the core content being taught in psychology is founded on weak or questionable research",0,,,,0,
DM7216,Many past research papers are very hard or impossible to replicate,0,,,,0,
SW8232,Many psychological or scientific studies that have been published can't be reproduced and are probably incorrect because of no way to extract the same results again.,1,,,,1,
TG6249,Many psychological studies these days have been replicated and do not replicate the same results as the original studies.,1,,,,1,
os1914,many psychology studies cannot be replicated,0,,,,0,
KM6340,"Many researchers have either tampered with their results or studies to achieved desired results which later could not be reproduced when other researchers carried out the same study. This calls into question which results in popular studies are legitimate, how credible their sources are (i.e., the researcher), and reliability of findings.",1,,,,1,
GL6271,Many studies are almost impossible to re-create,0,,,,0,
PL1192,many studies are difficult to replicate and so the results may not be reliable,1,,,,1,
eh8377,"Many studies are difficult to replicate which can put their reliability in to question however, for many reasons researchers have an incentive to produce research that is new and innovative. Journals are more likely to publish these findings, researchers can also be rewards for new findings. This can lead to reports and research that is not of a high standard and is hard to replicate.",1,,,,1,
CB4078,Many studies are hard or impossible to replicate and/or reproduce. This affects the verifiability of the study's results.,1,,,,1,
JW2351,"Many studies are impossible to replicate and this due to many methodological issues in studies. This may show studies are significant and they are not when replicated this could be down to various issues such as p-hacking, changing methods halfway research to gain significant results, hiding certain data, etc. This causes a lot of issues with studies being put online and not showing the whole/real truth. This is why open science has been introduced.",1,,,,1,
AK2263,many studies are impossible to reproduce,0,,,,0,
AE3286,Many studies aren't able to be replicated,0,,,,0,
LS9834,Many studies cannot be reproduced and therefore lack reliability.,0,,,,0,
SJ6947,Many studies could not have been replicated succesfully by other researchers so it is not sure how reliable their results actually were.,1,,,,1,
IM1789,Many studies that have been done cannot be replicated,0,,,,0,
FC0668,Many studies' results could not be replicated in new studies,1,,,,1,
EA4091,Many tests and studies that have been conducted in psychology have been revisited and a large proportion have them cannot be replicated to obtain the same results,1,,,,1,
ER9832,Mix of results people achieve,0,,,,0,
JT3906,modern studies are re doing older studies and not finding the same results.,1,,,,1,
CE1769,Most research wouldn't produce the same findings when replicated,1,,,,1,
NJ4431,Most studies that are published have not been replicated,0,,,,0,
MM5998,Most/A majority of scientific studies are difficult or impossible to reproduce,0,,,,0,
at5195,n/a,0,,,,0,
LM5983,Not been replicating data and instead citing results that may not be reliable,1,,,,1,
Ns5972,Not being able to get the same or similar results from previous studies.,1,,,,1,
TB9143,not being able to produce the same data after using the exact resources and procedures,1,,,,1,
JM2444,not being able to repeat a study,0,,,,0,
RG0354,not being able to replicate old/original studies due to ethical or sample problems,0,"? Too vague, or is this a '1' because of mention of sample problems",,,0,
GI2635,Not being able to replicate studies due to various reasons,0,,,,0,
DM7729,Not being able to reproduce or replicate a study due to costs and/or availability of participants.,0,"? As above, I think this is too vague",,,0,
TE6731,Not enough experiments are being replicated so uncertain about how reliable their results are,1,,,,1,
PA2298,Not enough repeated experiments,0,,,,0,
BL8765,Not getting a consistent result when a study that took place before is done again,1,,,,1,
LP2132,Not good for buliding trust and reputation for psychological research.,0,,,,0,
LE8209,not sure,0,,,,0,
EC6541,Not sure,0,,,,0,
BL9689,not sure,0,,,,0,
TS9638,not too sure,0,,,,0,
GP4392,old studies not producing same results when re-done,1,,,,1,
KH9477,old studies were re-run and found to not be replicable - the results didn't match up,1,,,,1,
ZS9594,Older studies cannot be repeated/replicated to confirm that they're accurate and reliable.,0,,,,0,
CH1726,One where the study can't be reproduced,0,,,,0,
MH0720,ongoing methodological crisis in which it has been found that many scientific studies are difficult or impossible to replicate or reproduce,0,,,,0,
AP4499,"Original studies are being done again using the same methods to see if the same results can be obtained again, making the results more accurate, however there are currently lots of studies being attempted to be replicated and the results are not coming out the same as the original study which brings the validity of the original studies and the findings thereafter into question.",1,,,,1,
NE8599,other researchers can't repeat other researchers work and reproduce their findings for reliability,1,,,,1,
MW405,Other researchers don’t replicate studies because they rather make their own and don’t get any reward for repeating an old one,0,? Is there enough information here for a 1?,,,0,
SR3287,Past studies results are now being called into question for not being robust enough.,0,,,,0,
bs0011,"People are more interested in seeing new research than replications and results are deemed less interesting if no effect is found ('top-drawer phenomenon'). The reliability of previous studies, some very famous, are being questioned, as they have not been successfully replicated, and replications, especially with contradictory results, have not been submitted or accepted for publication.",1,,,,1,
AW7810,"People are thinking that because you can't replicate a study and get the exact same results, then the original study must be wrong.",1,,,,1,
JF0021,People aren't able to replicate studies,0,,,,0,
ec0694,"people cannot replicate the findings from older studies, therefore, leading to questions surrounding the reliability of the findings and the theories that came from the findings.",1,,,,1,
RN8108,People copying others work,0,,,,0,
ET2628,Potential growing inability to successfully replicate studies,0,,,,0,
BS5824,Previous research being replicated and finding different results using same methodology.,1,,,,1,
SW5425,previous studies cannot be replicated,0,,,,0,
WB9245,Problems that may occur during a replication study: for example using the same methods and questionnaire but differents participants and the result is opposite from the original one,1,,,,1,
NP8808,problems when it comes to replicating studies,0,,,,0,
MF9201,"Prominent historical social psychological research conducted around 1960-the 80s which found significant effects were not able to be reproduced with the same/improved methodology in recent replication attempts. For example, the Walking Speed Effect study was not reproducible.",1,,,,1,
FP611,Psychological studies are failing to be reproduced,0,,,,0,
LH6439,psychological studies difficult/ unable to be replicated,0,,,,0,
ER2422,psychologists that have been replicating older studies have found non-significant results,1,,,,1,
KL9838,"Recent studies aiming to reproduce results of older, classic studies have not been able to acheive the same results, providing a concern for their reliability/validity.",1,,,,1,
JC5097,"Refers to a situation in which a large number of studies are difficult to replicate.  As a function of trying to increase impact + other factors, journals are biased towards new research which reject null hypotheses. The result being that the behaviour of data dredging (e.g. p hacking, fiddling with outliers etc.) becomes selected for in researchers, or only selectively reporting certain findings and so on. As these obviously are not reported in the method, it becomes difficult for other researchers to reproduce.",1,,,,1,
SP1532,refers to scientific studies which are difficult to replicate,0,,,,0,
AM1118,Refers to studies being too difficult to replicate and therefore cannot test whether the results are reliable.,1,,,,1,
KR7506,refers to the concerns of the credibility of findings.,1,,,,1,
EW5768,Refers to the growing belief that a study cannot be replicated and thus is wrong.,0,,,,0,
NC3798,"Relating to the idea that studies should be able to be reproduced and that researchers should make clear their hypotheses, method, analyses etc in order to allow studies to be reproduced. Details of the study should be shared before data is collected in order to prevent intentional/non-intentional malpractice that contributes to issues of studies not being replicated/reproduced.",1,,,,1,
LT0888,Repeating a study to ensure that the results match previous studies,0,"? This is explaining what should happen, but doesn't explain what the problem is",,,0,
SJ7957,repeating studies can cause over analysis of results,0,,,,0,
RF2215,Replicating a study and not getting the same results as the previous study,1,,,,1,
MP1372,replicating studies to see if you get similar results,0,"? This is explaining what should happen, but doesn't explain what the problem is",,,0,
CC9248,"Replication crisis is about how scientists prefer to do original research that indicates positive results as opposed to replicating studies, due to the perceived publication bias that journals mainly publish positive results. May also be influenced by funding issues, where scientists are in competition to ""publish or perish"".",1,,,,1,
ny5876,replication crisis when they found many methodological studies were difficult to replicate and reproduce,0,,,,0,
RR2335,Replication in the scientific method cannot be conducted in some studies,0,,,,0,
AS6005,Replication of older studies and finding different results (usually not significant after previously being reported significant),1,,,,1,
NO4337,replication of previous study,0,,,,0,
AF7478,"Replication studies don't get published in journals because they are not seen as interesting, so people are discouraged from replicating studies. This prevents ideas from being effectively disproven/challenged as non-replicating studies aren't published",1,,,,1,
AK5527,Replication with different results,1,,,,1,
SG4776,reproducing study data to check for its reliability,0,? Is this enough? Does this describe the problem?,,,0,
EA4839,Research needs to be replicated to further support its validity,0,,,,0,
KK3121,"Research not being consistent, findings differing when the study is replicated.",1,,,,1,
LS4458,"Researchers are unable to replicate certain studies because those same studies have been fabricated to look like an interesting finding so it can get published. Now there are ways to prevent this from happening, so findings from research studies are genuine and can be replicated later on.",0,"? Worth checking. They mention QRP in a roundabout way, but suggest that's all in the past.",,,0,
UF2767,Researchers being unable to replicate studies successfully.,0,,,,0,
MG6128,Researchers claiming to have found significant results that aren’t replicable or reproducible due to using QRPs - leading to lots of untrue/inaccurate information.,1,,,,1,
GM5994,researchers fail to replicate results of previous studies,1,,,,1,
ER7466,Researchers failed to get the same results when replicating other researchers experiments.,1,,,,1,
HF6912,researchers finding that studies are difficult or impossible to replicate,0,,,,0,
MA3979,"researchers have attempted to replicate past studies to see if the finding hold true to this day, but have found that many do not",1,,,,1,
AD9836,"Researchers having the ability to replicate a study and having the physical/material capability to do such (materials, access etc).",0,,,,0,
CH8455,"Researchers struggling to replicate findings from studies that have already been published, which can be due to a number of things in psychological research such as cherry picking and harking",1,,,,1,
JB6097,researchers went back to replicate many interesting results and studies to find many were not replicable,1,,,,1,
IM5123,Results are not replicable in a repeated study.,1,,,,1,
TM0370,Results can not be reproduced,1,,,,1,
AT9863,results from a study can not be reproduced so there is a possibility that they could be wrong and any conclusions made from them could be false,1,,,,1,
AM9054,Results of many scientific studies are difficult or impossible to replicate. And the replication crisis thus menas the failure to replicate many published research fingings.,1,,,,1,
SD4000,Results of scientific studies cannot be replicated and therefore are likely to be incorrect.,1,,,,1,
GP9970,results of scientific studies cant be reproduced and could be wrong,1,,,,1,
EA4839,Results should only be deemed valid after replicated findings support the findings,0,? Does this explain what the crisis is?,,,0,
EC6949,scientific studies from the past are unable to be replicated and possibly have false results,1,,,,1,
MA1301,"Since the last century more and more research studies have been hard/impossible to replicate. Two of the main reasons behind this may be the desire for ""sexy"" findings and fast science.",1,,,,1,
LT9745,Some psychology phenomenon is unique to a particular scenario and so it can be difficult to replicate/ reproduce those exact findings to generalise to produce solid theory,0,,,,0,
SR0273,Some scientific studies are difficult or impossible to replicate.,0,,,,0,
CC6102,some studies are difficult / impossible to replicate and obtain the same / similar results,1,,,,1,
HL7865,Some studies are difficult or impossible to reproduce,0,,,,0,
EB9574,some studies are difficult to replicate so it can't have its reliability tested,0,,,,0,
FB7621,"Some studies are difficult to replicate, making findings questionable.",1,,,,1,
VP9425,Some studies are impossible to be replicated,0,,,,0,
LP8635,Studies are difficult to replicate,0,,,,0,
MI0534,Studies are difficult to replicate and find the same results.,1,,,,1,
WB2931,studies are extremely difficult to reproduce,0,,,,0,
MB3219,Studies are not able to replicate previous studies,0,,,,0,
RA4789,Studies being replicated with modern techniques and perspectives and seeming to not be reproducible but their findings may still be relevant,0,,,,0,
AC0858,Studies don’t get replicated. Too often they lack of the necessary information to be replicated.,1,Lack of transparency,,,1,
MI0051,Studies have been replicated so many times with so many different results being found. The question is when should research stop being replicated as replications are helpful in making sure research is reliable but not if there are so many variations on the results across studies with the same procedure.,1,? check,,,1,
BG9154,studies have been replicated to many times,0,,,,0,
KB3913,Studies not being able to reproduce results. Likely due to researchers not disclosing how they analysed their data and not sharing all details of the methodology.,1,,,,1,
MA4567,Studies struggle to replicate which could be due to bad practice such as running multiple analyses till you get the result you want or including more participants after already completing the study,1,,,,1,
2016919,Studies that are difficult or impossible to replicate and test for reliability,0,,,,0,
AS1234,studies that are difficult or impossible to replicate or reproduce.,0,,,,0,
AS1234,Studies that are difficult or impossible to replicate or reproduce.,0,,,,0,
IW8889,Studies that are hard to be repeated,0,,,,0,
AJ7242,"Studies that are used as the basis to build knowledge upon are being replicated and the findings are not consistent, causing these studies to be questioned and whether the data and findings are accurate and potentially been falsified to support hypotheses that in fact may not be true.",1,,,,1,
RB5437,"Studies which have had a significant p value, no longer have a significant p value when replicated. This leads us to question the validity of the original findings.",1,,,,1,
SB4618,study replication failures of past findings,0,? check,,,0,
AF2807,Tha t there is not enough work that replicates previous findings to make sure they are reliable or replicable. Most research is done on new topics.,0,? Almost but not quite enough info,,,0,
ZE4112,That a lot of significant research when replicated do not find the same results,1,,,,1,
IW8066,That a lot of studies in social psychology are unable to be replicated with the same significant results,1,,,,1,
DH4918,That a study which is replicating another one should get the same results,0,Does this describe the problem?,,,0,
JW5216,That it has been found that many studies in Psychology have been conducted improperly and cannot be replicated to find the same results.,1,,,,1,
KW7251,That many scientific studies are difficult or impossible to replicate or reproduce.,0,,,,0,
AY4438,That many studies are difficult to replicate or reproduce,0,,,,0,
BW4520,That many studies cannot be reproduced and therefore the results may not be accurate,1,,,,1,
FL6613,that many studies were being replicated but without showing the same results making the results and conclusions unreliable,1,,,,1,
JK3084,"that most studies are incredibly difficult to reproduce exactly, so many studies go unrepeated and so results could be invalid",0,? Too vague,,,0,
TR5988,That previous studies are not showing the same results when repeated,1,,,,1,
AN3414,That psychology is under threat of replicating the same studies over and over again with no significant developments,0,,,,0,
CG9010,That research is often difficult to replicate and achieve the same results,1,,,,1,
KV0346,"That some scientific studies are impossible to replicate for a number of reasons, for example",0,,,,0,
LR0801,that some studies are near enough impossible to reproduce,0,,,,0,
KP1213,That studies are hard to replicate exactly,0,,,,0,
ab0725,"The academic pressure to publish new material, means there is little incentive to repeat or reproduce studies to demonstrate that the same results are achieved. There have been cases where it has not been possible to get the same results when a study is repeated - either sample not representative of population or in some cases faked results. Can't remember how the pressure to publish positive results rather than results that didn't give a result fits into this.",1,,,,1,
SA3672,The accuracy of published findings are questioned.,0,? check ,,,0,
RP7171,The apparent lack of consistent data/trends when the same study is replicated by different researchers,1,,,,1,
JL3087,the belief that many psychological research papers are inaccurate and therefore unreliable as they cannot be successfully replicated,0,,,,0,
KM5775,the belief that many scientific studies cannot be reproduced and are therefore wrong.,0,,,,0,
KM5775,the belief that many scientififc studies cannot be reproduced and therefore are likely to be wrong,0,,,,0,
JJ6728,The belief that some results cant be reproduced,0,The belief - rather than this is what happens,,,0,
KE9463,"The concern of studies not having accurate/valid findings, with researchers fabricating results to coincide with their hypotheses",1,,,,1,
MB9134,The crisis has shown how many studies are difficult or in some cases impossible to replicate.,0,,,,0,
PH0046,The crisis in which traditional studies were repeated and the results were not replicable.,1,,,,1,
CG0990,The crisis is that a lot of research is struggling to be replicable and reproduce the same results as the original study.,1,,,,1,
MM6401,the crisis means the difficulty to replicate the same studies resulting in the same data,1,,,,1,
AZ4979,"The current crisis within psychology where many published research studies have been difficult or impossible to replicate, due in part to journals wanting more significant results in their journals and poor researcher techniques, such as p-hacking.",1,,,,1,
RB2308,the current phenomenon in science and social sciences where research with significant results cannot be reproduced with similar and/or similar results.,1,,,,1,
AA2302,The difficulties in trying to replicate a study such as the same sample or materials can be hard to replicate exactly.,0,,,,0,
SG9835,The difficulty in replicating previous studies,0,,,,0,
LM5442,The difficulty to replicate studies.,0,,,,0,
